iter	Passed	Remaining
413	3255	4607
414	3261	4597
415	3268	4588
416	3275	4578
417	3281	4569
418	3288	4559
419	3295	4550
420	3302	4541
421	3308	4531
422	3315	4522
423	3321	4512
424	3328	4503
425	3335	4493
426	3341	4484
427	3348	4475
428	3355	4466
429	3362	4456
430	3369	4447
431	3375	4438
432	3382	4429
433	3389	4420
434	3396	4411
435	3403	4402
436	3409	4392
437	3415	4382
438	3422	4373
439	3429	4364
440	3436	4355
441	3443	4347
442	3450	4338
443	3457	4329
444	3464	4320
445	3470	4311
446	3477	4302
447	3484	4293
448	3491	4284
449	3498	4276
450	3505	4266
451	3511	4257
452	3518	4248
453	3525	4239
454	3532	4230
455	3539	4222
456	3546	4213
457	3552	4204
458	3559	4195
459	3566	4186
460	3572	4177
461	3579	4168
462	3586	4159
463	3593	4151
464	3600	4142
465	3607	4133
466	3613	4124
467	3620	4116
468	3627	4107
469	3634	4098
470	3641	4089
471	3648	4080
472	3654	4071
473	3661	4063
474	3668	4054
475	3675	4046
476	3682	4037
477	3689	4028
478	3695	4020
479	3702	4011
480	3709	4002
481	3716	3994
482	3723	3985
483	3729	3976
484	3737	3968
485	3745	3961
486	3752	3953
487	3759	3944
488	3768	3937
489	3778	3932
490	3790	3929
491	3799	3922
492	3807	3915
493	3817	3910
494	3825	3902
495	3834	3895
496	3842	3888
497	3851	3882
498	3860	3876
499	3870	3870
500	3878	3862
501	3887	3856
502	3895	3848
503	3905	3843
504	3914	3837
505	3924	3831
506	3935	3826
507	3944	3820
508	3956	3816
509	3967	3811
510	3976	3805
511	3988	3801
512	3999	3796
513	4009	3791
514	4021	3787
515	4031	3781
516	4041	3775
517	4052	3770
518	4060	3763
519	4078	3764
520	4087	3757
521	4097	3752
522	4105	3744
523	4114	3737
524	4123	3730
525	4131	3722
526	4138	3714
527	4147	3707
528	4156	3700
529	4166	3694
530	4184	3696
531	4194	3689
532	4202	3682
533	4212	3675
534	4220	3668
535	4230	3662
536	4240	3656
537	4249	3649
538	4263	3646
