iter	Logloss
0	0.6792298843
1	0.6650943103
2	0.6522592941
3	0.6392931478
4	0.6261563891
5	0.6151252675
6	0.6041561735
7	0.592315388
8	0.5817126074
9	0.5710755268
10	0.5613341019
11	0.5514581173
12	0.5413623954
13	0.5310396969
14	0.5221084528
15	0.5139772463
16	0.505892059
17	0.4978327511
18	0.4904273146
19	0.4833588927
20	0.4758389149
21	0.4685883791
22	0.4617886803
23	0.4546700094
24	0.4486660499
25	0.4427034353
26	0.4366680522
27	0.4305596414
28	0.4248619462
29	0.4191256749
30	0.4137721216
31	0.4092194208
32	0.4034098326
33	0.3983887586
34	0.3930408259
35	0.3877906688
36	0.3830793398
37	0.378298625
38	0.3735179247
39	0.3698562084
40	0.3664307013
41	0.3622994519
42	0.3585263594
43	0.3550566861
44	0.3517255095
45	0.3486324437
46	0.3448730347
47	0.3412258764
48	0.3376146042
49	0.3344704091
50	0.3314436888
51	0.328578997
52	0.3250227228
53	0.3215768063
54	0.31919979
55	0.3163931164
56	0.3138495833
57	0.3114055428
58	0.3093060609
59	0.3067775696
60	0.3043094902
61	0.3018839086
62	0.2993722568
63	0.2970956384
64	0.2951780865
65	0.2931407785
66	0.2910596407
67	0.2888385388
68	0.2869838245
69	0.2851509226
70	0.2832067681
71	0.2809868822
72	0.2793959597
73	0.2776556226
74	0.2761874699
75	0.2743347948
76	0.2726917042
77	0.2713664762
78	0.26960116
79	0.2676545344
80	0.2661056085
81	0.2646125596
82	0.2630355681
83	0.260911726
84	0.2596455202
85	0.2585067181
86	0.257406994
87	0.2557651809
88	0.2540743879
89	0.2530069012
90	0.2520856371
91	0.2508980681
92	0.2501327317
93	0.2487950677
94	0.2482105831
95	0.2471852246
96	0.2461334571
97	0.2450797663
98	0.2433762538
99	0.2424933455
100	0.2413248764
101	0.2402408128
102	0.2390547621
103	0.2380805428
104	0.2368586381
105	0.236030642
106	0.2350444035
107	0.2337171528
108	0.232452463
109	0.2314611299
110	0.2303086808
111	0.2293863035
112	0.2282348797
113	0.2268103171
114	0.2256328424
115	0.2240437822
116	0.2233809947
117	0.2221997353
118	0.2210207098
119	0.2201086564
120	0.218935482
121	0.217958789
122	0.2170918626
123	0.2161704464
124	0.2149599022
125	0.2138232982
126	0.212755092
127	0.2118980816
128	0.2111162996
129	0.2099712154
130	0.2091237324
131	0.2082110606
132	0.2072061471
133	0.2064767226
134	0.2056377307
135	0.2048271297
136	0.2042260476
137	0.2036479122
138	0.2028731595
139	0.2021951916
140	0.201013607
141	0.2000549769
142	0.1992702926
143	0.1986935587
144	0.1976536685
145	0.1968664736
146	0.1958237426
147	0.1951492116
148	0.1942908168
149	0.1934797914
150	0.192481272
151	0.1915301165
152	0.1907402805
153	0.1899532588
154	0.1890134005
155	0.1884064381
156	0.1878611872
157	0.1869561783
158	0.1861864885
159	0.185489891
160	0.1847294885
161	0.1837598191
162	0.1828729252
163	0.1819137564
164	0.1811100115
165	0.180495236
166	0.1800409274
167	0.1793608687
168	0.1789602074
169	0.1780389563
170	0.1774893616
171	0.1767518956
172	0.1762413421
173	0.1753912617
174	0.1748522742
175	0.1740847486
176	0.1732370627
177	0.1724242682
178	0.1718889944
179	0.1713083148
180	0.1705764742
181	0.1699024897
182	0.169379177
183	0.1688722132
184	0.168202876
185	0.1678143354
186	0.1671357953
187	0.1664337321
188	0.1658924497
189	0.1650274324
190	0.1645436994
191	0.1636736173
192	0.1629996596
193	0.1625458704
194	0.1615734761
195	0.1609127582
196	0.1603501261
197	0.1599638676
198	0.1596452561
199	0.1591859456
200	0.1585649688
201	0.1579364242
202	0.1573277447
203	0.1565710083
204	0.1560422018
205	0.1553769484
206	0.1546946959
207	0.1544086828
208	0.1539559067
209	0.1532670889
210	0.152838108
211	0.1524248402
212	0.151847982
213	0.1514715934
214	0.1509732701
215	0.1503378466
216	0.1500123554
217	0.1495178538
218	0.1491521274
219	0.1487197668
220	0.1480645048
221	0.1478384131
222	0.1471710981
223	0.1468261054
224	0.1461821946
225	0.1457027699
226	0.1450954308
227	0.1444816623
228	0.1439826625
229	0.1434842106
230	0.1430055788
231	0.1426155203
232	0.1423156522
233	0.1417824956
234	0.1413397709
235	0.14067746
236	0.1401196891
237	0.1396351273
238	0.1392649039
239	0.1389787124
240	0.1384444999
241	0.1377363231
242	0.1373615395
243	0.136830222
244	0.1364372661
245	0.1360477116
246	0.1354857196
247	0.1351626399
248	0.1349400926
249	0.1344876185
250	0.1341842823
251	0.133726344
252	0.1334382402
253	0.1328261865
254	0.1323594451
255	0.1319308038
256	0.1315132489
257	0.1311240812
